Date,Name,Already Added?,Location,Country,Country Name,Month,Scraped?,athletic_links ,Notes
05 Jan 2025,Bank of China Hong Kong-Zhuhai-Macao Bridge Half Marathon,,Hong Kong,HKG,Hong Kong,1,,N/A,
05 Jan 2025,C&D Xiamen Marathon,,Xiamen,CHN,China,1,,N/A,
05 Jan 2025,Karachi Marathon,,Karachi,PAK,Pakistan,1,,N/A,
05 Jan 2025,Semi Marathon International,,Tamesna,MAR,Morocco,1,,N/A,
12 Jan 2025,10K Valencia Ibercaja by Kiprun,,Valencia,ESP,Spain,1,,N/A,
12 Jan 2025,Dubai Marathon,Y,Dubai,UAE,United Arab Emirates,1,Y,https://www.athlinks.com/event/34575/results/Event/1101633/Results,
17 Jan 2025,Doha Marathon by Ooredoo,,Doha,QAT,Qatar,1,,N/A,
19 Jan 2025,33ª Mitja Marató Internacional Vila de Santa Pola,,Santa Pola,ESP,Spain,1,,N/A,
19 Jan 2025,Aramco Houston Half Marathon,,"Houston, TX",USA,United States,1,,https://www.athlinks.com/event/4476,"The Chevron Houston Marathon and the Aramco Half  are cohosted as  part of the same event over, two days of the same weekend. "
19 Jan 2025,Chevron Houston Marathon,,"Houston, TX",USA,United States,1,,https://www.athlinks.com/event/4476,"The Chevron Houston Marathon and the Aramco Half  are cohosted as  part of the same event over, two days of the same weekend. "
19 Jan 2025,Tata Mumbai Marathon,,Mumbai,IND,India,1,,https://www.athlinks.com/event/211691,
25 Jan 2025,Buriram Marathon Presented by Chang Mineral,,Buri Ram,THA,Thailand,1,,N/A,
26 Jan 2025,AXA Raheny 5,,Dublin,IRL,Ireland,1,,https://www.athlinks.com/event/36174,
26 Jan 2025,Marrakesh International Marathon,,Marrakech,MAR,Morocco,1,,N/A,
26 Jan 2025,Medio Maraton Sevilla,,Sevilla,ESP,Spain,1,,N/A,
26 Jan 2025,Osaka Women's Marathon,,Osaka,JPN,Japan,1,,N/A,
01 Feb 2025,Ras Al Khaimah Half Marathon,,Ras Al Khaimah,UAE,United Arab Emirates,2,,https://www.athlinks.com/event/104937,
02 Feb 2025,73rd Beppu-Oita Mainichi Marathon,,Oita,JPN,Japan,2,,N/A,
02 Feb 2025,77th Kagawa Marugame International Half Marathon,,Marugame,JPN,Japan,2,,N/A,
02 Feb 2025,Scenic Half Marahtron Pranburi,,Pranburi,THA,Thailand,2,,N/A,
08 Feb 2025,Riyadh Half Marathon,,Riyadh,KSA,Saudi Arabia,2,,N/A,
08 Feb 2025,Riyadh Marathon,,Riyadh,KSA,Saudi Arabia,2,,N/A,
09 Feb 2025,10K Gimnastica de Ulia,,San Sebastián,ESP,Spain,2,,N/A,
09 Feb 2025,Burj2Burj Half Marathon,,Dubai,UAE,United Arab Emirates,2,,??,
09 Feb 2025,MONACO RUN 5 km,,Monaco,MON,Monaco,2,,https://www.athlinks.com/event/133379,
09 Feb 2025,Standard Chartered Hong Kong Marathon,,Hong Kong,HKG,Hong Kong,2,,https://www.athlinks.com/event/34440,
09 Feb 2025,XLII Clásica Carrera Internacional La Candelaria Costa Rica,,Cartago,CRC,Costa Rica,2,,N/A,
15 Feb 2025,Access Bank Lagos City Marathon,,Lagos,NGR,Nigeria,2,,N/A,
16 Feb 2025,10K Facsa Castellón,,Castellón,ESP,Spain,2,,N/A,
